,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Party Affiliation,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
10,HIRAL TIPIRNENI,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,60.220001,Yes,Dem,H,AZ,8.0,DEM,OPEN,4579945.1,4479343.36,100601.74,70000.0,12/31/2018,PO BOX 8570,,PHONEIZ,AZ,85042.0,1790782.15,2488541.85,4279324.0,206952.6,0.0,23593.05,4509869.65,0.0,70000.0,0.0,70000.0,0.0,0,0,75.45,4064164.52,0.0,0.0,0.0,0.0,0.0,0.0,103928.84,0.0,0.0,103928.84,311250.0,4405940.81,4064164.52,0.0,0.0,07/01/2017
11,AUDREY DENNEY,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,43.650002,Yes,Dem,H,CA,1.0,DEM,CHALLENGER,1097584.95,1097092.46,492.49,0.0,12/31/2018,PO BOX 5174,,CHICO,CA,95927.0,607970.79,443232.96,1051203.75,38045.2,2000.0,0.0,1091248.95,0.0,4000.0,0.0,4000.0,1986.0,0,0,350.0,1089483.65,0.0,0.0,0.0,4000.0,0.0,4000.0,2758.81,0.0,700.0,3458.81,150.0,1087790.14,1087497.65,0.0,0.0,01/01/2018
12,DAVID PETERSON,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,7.3000002,No,Dem,H,CA,1.0,DEM,CHALLENGER,17275.0,12697.0,4578.0,15000.0,03/31/2018,1390 BROADWAY,APT 232,PLACERVILLE,CA,95667.0,0.0,2275.0,2275.0,0.0,0.0,0.0,2275.0,0.0,15000.0,0.0,15000.0,0.0,0,0,0.0,11847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,2275.0,11847.0,0.0,,01/01/2018
13,JESSICA HOLCOMBE,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,28.540001,No,Dem,H,CA,1.0,DEM,CHALLENGER,290020.57,290020.57,0.0,0.0,08/23/2018,PO BOX 5395,,AUBURN,CA,95602.0,156234.43,132182.14,288416.57,0.0,0.0,104.0,288520.57,0.0,1500.0,0.0,1500.0,0.0,0,0,0.0,270832.24,0.0,0.0,0.0,1500.0,0.0,1500.0,2671.66,0.0,0.0,2671.66,15016.67,285848.91,270832.24,0.0,0.0,01/01/2017
14,JOSH HARDER,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,35.57,Yes,Dem,H,CA,10.0,DEM,CHALLENGER,8441529.09,8421288.43,20240.66,3000.0,12/31/2018,P.O. BOX 4426,,MODESTO,CA,95352.0,5631647.45,1779432.27,7411079.72,350099.9,1396.2,0.0,7762575.82,651463.29,0.0,0.0,0.0,8911.48,0,0,18578.5,8366614.97,0.0,0.0,0.0,0.0,0.0,0.0,51546.84,0.0,2425.0,53971.84,701.62,7708603.98,8357703.49,0.0,0.0,04/30/2017
15,MICHAEL EGGMAN,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,21.34,No,Dem,H,CA,10.0,DEM,CHALLENGER,346820.52,398230.02,4285.78,0.0,09/30/2018,3220 WEST MONTE VISTA AVE,APT 175,TURLOCK,CA,95380.0,224569.2,55327.09,279896.29,34500.0,0.0,0.0,314396.29,0.0,0.0,0.0,0.0,29424.23,0,0,3000.0,357645.02,0.0,0.0,0.0,0.0,0.0,0.0,18085.0,0.0,10000.0,28085.0,12500.0,286311.29,328220.79,55695.28,0.0,01/01/2017
16,SUE ZWAHLEN,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,17.049999,No,Dem,H,CA,10.0,DEM,CHALLENGER,840266.61,480284.77,0.0,359981.84,09/30/2018,PO BOX 256,,MODESTO,CA,95353.0,79085.37,33887.33,112972.7,0.0,0.0,366402.78,479375.48,0.0,360450.0,0.0,360450.0,441.13,0,0,0.0,479213.18,0.0,0.0,0.0,468.16,0.0,468.16,478.43,0.0,0.0,478.43,125.0,478897.05,478772.05,0.0,0.0,07/01/2017
17,VIRGINIA MADUENO,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,19.17,No,Dem,H,CA,10.0,DEM,CHALLENGER,355454.26,355954.26,0.0,0.0,12/31/2018,PO BOX 696,,RIVERBANK,CA,95367.0,252890.32,61041.38,313931.7,29000.0,0.0,2402.56,345334.26,0.0,10000.0,0.0,10000.0,120.0,0,0,0.0,325080.83,0.0,0.0,0.0,0.0,0.0,0.0,30873.43,0.0,0.0,30873.43,0.0,314460.83,324960.83,0.0,0.0,07/01/2017
18,TJ COX,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,Dem,H,CA,21.0,DEM,CHALLENGER,0.0,0.0,0.0,0.0,,PO BOX 804,,SELMA,CA,93662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,ANDREW JANZ,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.830002,Yes,Dem,H,CA,22.0,DEM,CHALLENGER,9233869.01,9211821.7,22047.31,0.0,12/31/2018,"16633 VENTURA BLVD., #1008",,ENCINO,CA,91436.0,4079354.65,4878500.93,8957855.58,116743.71,1595.96,0.0,9076195.25,145709.04,0.0,0.0,0.0,11964.72,0,0,0.0,9065478.03,0.0,0.0,0.0,0.0,0.0,0.0,126723.67,0.0,8500.0,135223.67,11120.0,8940971.58,9053513.31,0.0,0.0,04/01/2017
20,BOBBY BLIATOUT,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,12.26,No,Dem,H,CA,22.0,DEM,CHALLENGER,394178.67,394178.67,0.0,0.0,08/30/2018,1525 E SHAW AVE,APT 101,FRESNO,CA,93710.0,71722.47,33432.0,105154.47,0.0,0.0,205831.61,310986.08,0.0,75000.0,2700.0,77700.0,0.0,0,0,5492.59,314126.24,0.0,0.0,0.0,75000.0,2700.0,77700.0,2302.43,0.0,0.0,2302.43,50.0,308683.65,314126.24,0.0,0.0,01/01/2017
21,RICARDO FRANCO,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,8.9099998,No,Dem,H,CA,22.0,DEM,CHALLENGER,51123.99,49008.28,2115.71,25266.04,12/31/2018,PO BOX 27830,,FRESNO,CA,93729.0,27570.0,17293.53,44863.53,1000.0,0.0,4542.0,50405.53,0.0,0.0,0.0,0.0,718.46,0,0,0.0,48928.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,50405.53,48209.82,0.0,0.0,01/01/2017
22,KURTIS WILSON,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,4.8400002,No,Dem,H,CA,23.0,DEM,CHALLENGER,12040.87,11839.91,200.96,3212.73,12/31/2018,PO BOX 2402,,LANCASTER,CA,93539.0,8100.0,248.0,8348.0,0.0,0.0,480.14,8828.14,0.0,3212.73,0.0,3212.73,0.0,0,0,0.0,11839.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8828.14,11839.91,0.0,0.0,10/01/2017
23,TATIANA MATTA,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,On the Ballot,42.720001,Yes,Dem,H,CA,23.0,DEM,CHALLENGER,116057.86,106342.6,9679.28,0.0,12/31/2018,PO BOX 1728,,ROSAMOND,CA,93560.0,45989.79,48718.25,94708.04,19825.0,0.0,1418.36,115951.4,0.0,0.0,0.0,0.0,0.0,0,0,106.46,104341.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2000.0,115950.4,104341.6,0.0,0.0,08/20/2017
24,WENDY REED,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,None,34.25,No,Dem,H,CA,23.0,DEM,CHALLENGER,27394.25,28264.93,0.0,0.0,12/31/2018,PO BOX 3133,,QUARTZ HILL,CA,93560.0,13628.65,8253.69,21882.34,1000.0,0.0,0.0,22882.34,0.0,4499.23,0.0,4499.23,12.68,0,0,0.0,26430.31,0.0,0.0,0.0,1831.04,0.0,1831.04,3.58,0.0,0.0,3.58,0.0,22878.76,26417.63,0.0,0.0,01/01/2017
25,BRYAN CAFORIO,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,38.259998,No,Dem,H,CA,25.0,DEM,CHALLENGER,1217418.32,1220320.16,75.76,96000.0,12/31/2018,25379 WAYNE MILLS PLACE,APT 243,VALENCIA,CA,91355.0,893043.27,121624.75,1014668.02,62796.4,0.0,12682.51,1090146.93,0.0,96000.0,0.0,96000.0,21207.34,0,0,10064.05,1124775.38,0.0,0.0,0.0,0.0,0.0,0.0,84536.48,0.0,10000.0,94536.48,1008.3,995610.45,1103568.04,2977.6,0.0,01/01/2017
26,JESS PHOENIX,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,13.24,No,Dem,H,CA,25.0,DEM,CHALLENGER,495219.91,495181.29,38.62,0.0,12/31/2018,PO BOX 2556,,CANYON COUNTRY,CA,91386.0,202943.71,280143.48,483087.19,3850.0,0.0,2645.7,489582.89,0.0,0.0,0.0,0.0,5637.02,0,0,0.0,480787.88,0.0,0.0,0.0,0.0,0.0,0.0,12836.13,0.0,0.0,12836.13,1557.28,476746.76,475150.86,0.0,0.0,04/01/2017
27,MARY PALLANT,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,None,5.54,No,Dem,H,CA,25.0,DEM,CHALLENGER,8295.09,8295.09,0.0,2632.09,06/30/2018,638 LINDERO CANYON ROAD,APT 173,OAK PARK,CA,91377.0,2231.0,26.0,2257.0,0.0,0.0,3338.09,5595.09,0.0,2700.0,0.0,2700.0,0.0,0,0,0.0,8227.18,0.0,0.0,0.0,67.91,0.0,67.91,0.0,0.0,0.0,0.0,0.0,5595.09,8227.18,0.0,0.0,01/01/2018
28,ANDY THORBURN,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,20.440001,No,Dem,H,CA,39.0,DEM,OPEN,3161418.81,3161380.92,37.89,0.0,12/31/2018,2031 ORANGETHROPE AVE,,PLACENTIA,CA,92870.0,238633.3,33681.62,272314.92,0.0,0.0,26000.0,298314.92,0.0,2860900.0,0.0,2860900.0,2203.89,0,0,0.0,3099598.37,0.0,0.0,0.0,0.0,0.0,0.0,59422.55,0.0,0.0,59422.55,2360.0,238892.37,3097394.48,0.0,0.0,07/31/2017
29,HERBERT LEE,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,9.4200001,No,Dem,H,CA,39.0,DEM,OPEN,1064247.19,1057258.46,6988.73,249053.16,12/31/2018,1105 SOUTH EUCLID ST,D280,FULLERTON,CA,92832.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1064246.19,0.0,1064246.19,0.0,0,0,0.0,1057258.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1057258.46,0.0,0.0,01/01/2018
30,JESSICA MORSE,CA,U.S. House California District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,49.099998,Yes,Dem,H,CA,4.0,DEM,CHALLENGER,3813237.37,3711060.21,102177.16,0.0,12/31/2018,1079 SUNRISE AVE,SUITE B-275,ROSEVILLE,CA,95661.0,2605799.24,826727.64,3432526.88,218561.69,1978.46,231.81,3653298.84,157804.39,0.0,0.0,0.0,533.93,0,0,1600.21,3655620.46,0.0,0.0,0.0,0.0,0.0,0.0,43157.27,0.0,700.0,43857.27,11582.48,3609441.57,3655086.53,0.0,0.0,01/01/2017
31,REGINA BATESON,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,30.07,No,Dem,H,CA,4.0,DEM,CHALLENGER,804901.59,804901.59,0.0,0.0,08/09/2018,PO BOX 1130,,ROSEVILLE,CA,95678.0,568540.08,225460.42,794000.5,0.0,0.0,1766.99,795767.49,0.0,0.0,0.0,0.0,9114.1,0,0,20.0,757580.54,0.0,0.0,0.0,0.0,0.0,0.0,47110.95,0.0,0.0,47110.95,210.1,748656.54,748466.44,0.0,0.0,01/01/2017
32,ROBERT LAWTON,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,5.25,No,Dem,H,CA,4.0,DEM,CHALLENGER,0.0,0.0,0.0,0.0,,PO BOX 1142,,COARSEGOLD,CA,93614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,ROZA CALDERON,CA,U.S. House California District 4,Representative,Regular,6/5/18,Lost,None,None,15.57,No,Dem,H,CA,4.0,DEM,CHALLENGER,97376.41,32122.37,66106.84,55000.0,03/31/2018,6805 DOUGLAS BLVD,87,GRANITE BAY,CA,95746.0,22666.86,19709.55,42376.41,0.0,0.0,0.0,42376.41,0.0,55000.0,0.0,55000.0,0.0,0,0,0.0,29384.37,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,2700.0,38.0,39676.41,29384.37,0.0,0.0,04/01/2017
34,JULIA PEACOCK,CA,U.S. House California District 42,Representative,Regular,6/5/18,Advanced,None,On the Ballot,76.019997,Yes,Dem,H,CA,42.0,DEM,CHALLENGER,159046.35,149914.01,9480.05,8459.29,12/31/2018,11762 DE PALMA COURT,1C 527,CORONA,CA,92883.0,83878.14,69414.64,153292.78,4709.54,749.03,0.0,158751.35,0.0,0.0,0.0,0.0,295.0,0,0,0.0,147710.11,0.0,0.0,0.0,0.0,0.0,0.0,53.7,0.0,0.0,53.7,2150.2,158697.65,147415.11,0.0,0.0,01/01/2017
35,NORMAN QUINTERO,CA,U.S. House California District 42,Representative,Regular,6/5/18,Lost,None,None,23.98,No,Dem,H,CA,42.0,DEM,CHALLENGER,136211.3,136211.3,0.0,0.0,11/23/2018,PO BOX 1211,,PERRIS,CA,92572.0,7309.36,4645.21,11954.57,0.0,0.0,250.0,12204.57,0.0,124006.73,0.0,124006.73,0.0,0,0,0.0,136211.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12204.57,136211.3,0.0,0.0,01/01/2017
36,BRIAN FORDE,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,13.06,No,Dem,H,CA,45.0,DEM,CHALLENGER,1701475.61,1473652.99,227572.62,0.0,12/31/2018,23601 MOULTON PKWY,APT 220,LAGUNA HILLS,CA,92653.0,1584036.16,90494.39,1674530.55,12500.0,0.0,5400.0,1692430.55,0.0,0.0,0.0,0.0,9045.06,0,0,0.0,1360887.46,0.0,0.0,0.0,0.0,0.0,0.0,112515.53,0.0,0.0,112515.53,250.0,1579915.02,1351842.4,0.0,0.0,07/01/2017
37,KIA HAMADANCHY,CA,U.S. House California District 45,Representative,Regular,6/5/18,Lost,None,None,4.1500001,No,Dem,H,CA,45.0,DEM,CHALLENGER,655052.65,655052.65,0.0,0.0,08/24/2018,PO BOX 6265,,IRVINE,CA,92616.0,560887.15,82935.66,643822.81,11000.0,0.0,0.0,654822.81,0.0,0.0,0.0,0.0,229.84,0,0,0.0,608265.29,0.0,0.0,0.0,0.0,0.0,0.0,44840.12,0.0,0.0,44840.12,1947.24,609982.69,608035.45,0.0,0.0,04/01/2017
38,HANS KEIRSTEAD,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,37.439999,No,Dem,H,CA,48.0,DEM,CHALLENGER,2178356.89,2074450.17,103906.72,336666.13,12/31/2018,PO BOX 985,,LAGUNA BEACH,CA,92652.0,828395.39,145986.89,974382.28,29700.0,0.0,155400.0,1159482.28,0.0,925000.0,0.0,925000.0,1270.89,0,0,92603.72,2021133.25,0.0,0.0,0.0,0.0,0.0,0.0,51066.92,0.0,0.0,51066.92,2250.0,1108415.36,2019862.36,0.0,0.0,04/01/2017
39,HARLEY ROUDA,CA,U.S. House California District 48,Representative,Regular,6/5/18,Advanced,None,On the Ballot,37.599998,Yes,Dem,H,CA,48.0,DEM,CHALLENGER,8749389.97,8473725.72,275664.25,94646.15,12/31/2018,120 NEWPORT CENTER DR,# 28,NEWPORT BEACH,CA,92660.0,4325595.19,1616605.32,5942200.51,558821.0,0.0,55500.0,6556521.51,485507.36,1625000.0,0.0,1625000.0,27426.79,0,0,54934.31,7663495.66,0.0,0.0,0.0,719824.17,20.0,719844.17,75464.86,0.0,14696.03,90160.89,225.0,6466360.62,7636068.87,0.0,0.0,02/27/2017
40,LAURA OATMAN,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,3.01,No,Dem,H,CA,48.0,DEM,CHALLENGER,244289.89,228836.79,3132.15,0.0,12/31/2018,2618 SAN MIGUEL DRIVE,APT 501,NEWPORT BEACH,CA,92660.0,186185.97,36734.69,222920.66,0.0,0.0,13197.23,236117.89,0.0,0.0,0.0,0.0,4100.0,0,0,4072.0,195690.05,0.0,0.0,0.0,0.0,0.0,0.0,24767.7,0.0,0.0,24767.7,8379.04,211350.19,191590.05,0.0,0.0,04/01/2017
41,MICHAEL KOTICK,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,3.26,No,Dem,H,CA,48.0,DEM,CHALLENGER,531818.3,528815.97,3200.0,202525.0,12/31/2018,270 BAKER STREET EAST,UNIT 200,COSTA MESA,CA,92626.0,189972.85,15049.8,205022.65,0.0,0.0,134531.68,339554.33,0.0,188525.0,0.0,188525.0,550.0,0,0,3188.97,483148.87,0.0,0.0,0.0,0.0,0.0,0.0,43565.12,0.0,0.0,43565.12,2101.98,295989.21,482598.87,0.0,0.0,07/01/2017
42,RACHEL PAYNE,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,4.4899998,No,Dem,H,CA,48.0,DEM,CHALLENGER,388067.99,388067.99,0.0,0.0,12/31/2018,220 NEWPORT CENTER DRIVE,11 435,NEWPORT BEACH,CA,92660.0,241903.96,43736.55,285640.51,5000.0,0.0,94688.53,385329.04,0.0,0.0,0.0,0.0,2738.95,0,0,0.0,342919.99,0.0,0.0,0.0,0.0,0.0,0.0,42475.0,0.0,0.0,42475.0,2673.0,342854.04,340181.04,0.0,0.0,03/01/2017
43,TONY ZARKADES,CA,U.S. House California District 48,Representative,Regular,6/5/18,Lost,None,None,1.6,No,Dem,H,CA,48.0,DEM,CHALLENGER,2200.0,2983.0,78.0,1700.0,06/30/2018,9081 VERONICA DR.,,HUNTINGTON BEACH,CA,92646.0,0.0,500.0,500.0,0.0,0.0,0.0,500.0,135.0,1700.0,0.0,1700.0,0.0,0,0,0.0,2983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,2983.0,860.0,0.0,01/01/2018
44,DOUGLAS APPLEGATE,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,25.76,No,Dem,H,CA,49.0,DEM,OPEN,1006600.45,1069305.57,437.41,5500.0,12/31/2018,P.O. BOX 579,,VISTA,CA,92085.0,604607.19,347726.73,952333.92,37503.0,0.0,0.0,989836.92,0.0,0.0,0.0,0.0,428.86,0,0,16334.67,997754.99,0.0,0.0,0.0,0.0,0.0,0.0,57096.73,0.0,5000.0,62096.73,9453.85,927740.19,997326.13,63142.53,0.0,01/01/2017
45,MIKE LEVIN,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,34.400002,Yes,Dem,H,CA,49.0,DEM,OPEN,6055213.14,5497153.67,558059.47,16101.21,12/31/2018,"3605 LONG BEACH BLVD., SUITE 426",,LONG BEACH,CA,90807.0,3479074.49,1289973.16,4769047.65,509592.08,6129.23,11525.82,5296294.78,732115.69,0.0,0.0,0.0,26642.63,0,0,160.04,5384943.36,0.0,0.0,0.0,0.0,0.0,0.0,65291.47,0.0,4924.22,70215.69,41994.62,5226079.09,5358300.73,0.0,0.0,03/06/2017
